alert_id,liquidity_projection_id
046a0551-fb89-5614-9fa3-a0522de06fb4,30a9c018-07d9-56ac-a509-e5f3afe62d91
58183051-3e3e-5833-a098-c3eb62e329a4,838c5f2f-471c-5748-8061-f2c7965ad83b
878de643-5de8-54c4-8de0-7a848b3363f6,d790cd19-ac13-5075-a7fb-392d07a03402
45ef4d48-29e0-5587-b0d2-b3ca716abf7e,fa40bb58-a0e8-58a9-b21b-b9b7e6314243
77cac092-fe43-5c6b-b874-8d757e7e608f,e8b7b4ef-c095-534b-889b-eef84e6e0185
2cf91d9d-1a34-51f4-baa3-2f487ef69b75,e83b00e7-0ed3-56ca-a6bd-5dd510bf6c73
c9b9f4e7-2afe-54cc-9246-d87d5801f79f,c37a863c-b5dc-503f-acfe-cd3984929d62
40be3154-2647-5210-bb9c-dd68aab2b039,dc2186db-d60d-5eba-a595-021945f44f37
88c7920c-d332-51f6-9d0d-5bd13d0a243b,18432787-bd16-51e9-8f11-b1ae68fe08ff
55dcc85f-0c3c-51dd-b992-e5538d4c5113,5c4b6109-8f3a-53f0-a9d7-c7b134070aff
20014918-1245-51a9-9aa0-77f2ad787554,90f5b350-b88e-5c16-99b7-0a49c8d9e1a9
76b8ca0f-73aa-5b76-8304-9297e276696b,41570ed2-23b9-5796-bfff-dc5f3395cb02
