liquidity_projection_id,data_quality_assessment_id
30a9c018-07d9-56ac-a509-e5f3afe62d91,2d03bdec-f570-58f8-9172-2efbff73ff5d
2a50c672-1708-505b-ad5c-a32e2e5625cc,c6155a32-a7e1-5979-9a38-84bacb1c76eb
838c5f2f-471c-5748-8061-f2c7965ad83b,05b1d475-604d-5708-9122-6308a198028d
654eeb94-dc77-5de3-89f0-c515817a9a72,76ecf71c-c12c-506c-9313-d2c574c9f4d8
d790cd19-ac13-5075-a7fb-392d07a03402,5a024ae7-3d53-56c2-9bb9-e5204c574286
4f5a5f0a-2109-53b2-9f54-9a97ca6a2313,67698839-8f8a-5eed-98b7-519a12462f07
fa40bb58-a0e8-58a9-b21b-b9b7e6314243,c70023bd-2f00-50c3-907c-e9d3b49817f7
28fe77f8-5039-5312-87c2-17b1ddc9422d,256928a4-b1ec-5d6b-bac0-bc9ccbc108b1
e8b7b4ef-c095-534b-889b-eef84e6e0185,3363117c-3d4b-529f-b2fd-7b9995a0c2e3
ed245d63-8215-51a1-bbe2-0093a62289d1,07dd52b0-5e0c-51f6-9284-96b04d1fe774
e83b00e7-0ed3-56ca-a6bd-5dd510bf6c73,62b778c4-e040-5f47-936b-bd736816e86b
612ca7be-d05e-51c7-833d-3a7f66f583a7,44b96869-49c6-5243-8cd0-b31d106f159b
c37a863c-b5dc-503f-acfe-cd3984929d62,9ff7927c-7e5f-5760-814c-f8e02bd7007e
9fa56e25-ce51-5a18-9809-473d30bba326,95fd2c61-29b4-5c72-a479-a53b7e771af0
dc2186db-d60d-5eba-a595-021945f44f37,dfc4a4a9-7702-5a92-9b1b-7d07937ce011
cbde33d4-de67-5066-85f5-775a47164714,372015c3-b784-589b-9e33-a45adb67f699
18432787-bd16-51e9-8f11-b1ae68fe08ff,f8a29e16-e458-5981-84dc-7a7dc9e2ef43
6d290082-e3db-5ce3-8b08-44d12f671321,2c23f12c-8b25-5389-a74f-e9b8f381aa5d
5c4b6109-8f3a-53f0-a9d7-c7b134070aff,04a3c647-317a-5f27-98f5-0a1ec0958195
c37cb4d2-6bf2-5b3f-a037-602f4679054b,40928bda-fefe-585c-86bb-6ed769b01b0e
90f5b350-b88e-5c16-99b7-0a49c8d9e1a9,2648ea91-0dad-5a4a-aecf-32895793f874
49cb5de2-8c8e-5541-a390-8817086f8c2b,6a54c2ee-de45-5e2f-9242-0b3d93e30de5
41570ed2-23b9-5796-bfff-dc5f3395cb02,8d5cae92-ee2a-5162-b588-9c68c573e24e
b2549690-c584-56dd-bb26-592a42ee31a7,53ffd4bf-4f8e-5806-aee8-6f174b59dae6
21257793-f2fc-536d-b5e6-c505bdadf936,bddc8611-ca95-54e4-84f6-c564c74b9e41
ed5e7a86-cef2-526b-88a7-93d4d0a62995,e3101e81-7ad9-5d3c-be2e-b74d43f9dc90
f4bc9aaf-fabf-5043-ae76-1200851b39e3,58e0d2c2-a3fe-5d2b-b539-d9e1752cc9c1
6b84fe8a-b55a-5ff6-aca3-22299ca0c1d3,a6fcd228-ab2a-59fd-9732-58a20ee8334f
6cc9dd85-7ad0-5876-a4db-f03d68b210e4,998650ba-8f8b-54fa-8cfb-e5ad502ab094
71603fcf-20fc-506e-95a7-5cf9c9e751a9,ee9d80b0-a744-5d06-b8f3-f1002ba1ddbf
def95ed7-9799-511c-9458-2e8e2ba4f10d,09f62711-2b2f-52bb-9ca7-42170f2aaa41
a592be96-bfcd-58fb-83b0-f9e223808444,4a770f2c-eb48-514c-8d60-e31698811f52
762c0a6f-098a-5ed9-8e1c-a5a9a8fb6e53,b6b65ef2-7fa7-5e1f-88fc-7358e932d570
cad30766-a325-51cb-8426-439be600cd5d,cd335d22-be68-50f0-9124-26d80bd5ebc8
af1dec9c-ae21-5a24-92ef-2c8a8fe5c79d,2fd17407-93ad-561d-af29-7f9e00e5a065
8cc8571e-b13c-5c3f-a01e-62c09a966bb3,d9959188-92e2-5c16-b537-ae441ce66da1
a8cb4e1a-77ac-5adf-b14b-cc63b957d852,e4d5b86f-6dcd-5d06-8299-a51bca31924c
d1d1718e-7419-5e91-9f63-10b130e94429,ad3ee695-d18e-5b4d-8b53-87640aebb2ec
87092f62-fbe0-50e1-8f08-07b09313030e,25517923-d09a-522b-b723-f3b5cd461826
a5a93c2b-73cb-5027-9b00-8eba43759723,a6db3dbf-f244-5ce6-ba0f-ae2b5917d1a6
8542c107-c202-52c8-89ff-27abdb4e7c85,2d03bdec-f570-58f8-9172-2efbff73ff5d
2cf3c0c3-575b-519a-8959-eb5becfcd585,c6155a32-a7e1-5979-9a38-84bacb1c76eb
a5aeee74-255f-5be9-a8b3-72c396af6b9e,05b1d475-604d-5708-9122-6308a198028d
b9335314-74b7-5523-9bb8-1dd648acf72f,76ecf71c-c12c-506c-9313-d2c574c9f4d8
41275cc6-55f4-5d57-812f-9d8abea1d6a0,5a024ae7-3d53-56c2-9bb9-e5204c574286
8e442d70-1ff6-55e9-88d7-7e4df95582dc,67698839-8f8a-5eed-98b7-519a12462f07
4b9b1885-c500-5cb8-9879-86309eee8986,c70023bd-2f00-50c3-907c-e9d3b49817f7
c643ff54-37a3-5b9e-9072-8246fd08245d,256928a4-b1ec-5d6b-bac0-bc9ccbc108b1
78808048-c88d-5f1e-b9e2-f093b66cfaa0,3363117c-3d4b-529f-b2fd-7b9995a0c2e3
9eca4cc7-3daf-5352-82c4-77d9f54fe75e,07dd52b0-5e0c-51f6-9284-96b04d1fe774
67094f80-e6bd-50be-ac8a-f76cd58dadbb,62b778c4-e040-5f47-936b-bd736816e86b
1f7a6af3-6b75-5c4b-94e6-01d9ea166a10,44b96869-49c6-5243-8cd0-b31d106f159b
8720b8bb-f785-56d0-945f-c44bd5226d3b,9ff7927c-7e5f-5760-814c-f8e02bd7007e
afdfda66-8667-5304-99b8-4196ff230ec5,95fd2c61-29b4-5c72-a479-a53b7e771af0
148e7117-df35-5ffb-9c8f-6081e7462777,dfc4a4a9-7702-5a92-9b1b-7d07937ce011
a9877f93-8665-5c2a-871e-0920644c586f,372015c3-b784-589b-9e33-a45adb67f699
260d1128-203c-5486-8aaf-1f3b665042c2,f8a29e16-e458-5981-84dc-7a7dc9e2ef43
399d9cbe-719a-5c78-9b24-a40a0081a59c,2c23f12c-8b25-5389-a74f-e9b8f381aa5d
5e888a2a-78b7-5a77-8c34-6684242db94a,04a3c647-317a-5f27-98f5-0a1ec0958195
0ba8660b-d707-531b-b5cb-2750c3c7c1f0,40928bda-fefe-585c-86bb-6ed769b01b0e
