cash_balance_snapshot_id,ingestion_event_id,simulation_run_id,outlet_id,balance,currency_code,observed_at,received_at,source_kind,created_at
573fc31e-7df2-5bdb-8dcf-959e3ae043be,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,108000.00,BDT,2026-06-26T01:00:00Z,2026-06-26T01:02:00Z,seed,2026-06-26T01:02:00Z
b801a00a-6ef8-57ff-bb4c-9fe303ac3616,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,107650.00,BDT,2026-06-26T02:00:00Z,2026-06-26T02:02:00Z,seed,2026-06-26T02:02:00Z
f84cdcf5-6f78-5b03-9f87-d43a2bb37173,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,107300.00,BDT,2026-06-26T03:00:00Z,2026-06-26T03:02:00Z,seed,2026-06-26T03:02:00Z
be862d42-0a22-5792-8f42-e78427896a7f,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,106950.00,BDT,2026-06-26T04:00:00Z,2026-06-26T04:02:00Z,seed,2026-06-26T04:02:00Z
e1284753-7711-54dd-ba68-88b499ae1a61,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,106600.00,BDT,2026-06-26T05:00:00Z,2026-06-26T05:02:00Z,seed,2026-06-26T05:02:00Z
a4cb0dea-973e-597a-af33-e91c4dc33051,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,106250.00,BDT,2026-06-26T06:00:00Z,2026-06-26T06:02:00Z,seed,2026-06-26T06:02:00Z
86fd557f-9fdf-5e02-b826-55dc5f6ba633,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,105900.00,BDT,2026-06-26T07:00:00Z,2026-06-26T07:02:00Z,seed,2026-06-26T07:02:00Z
c6b89527-c002-5669-9a1a-ecf58f531fc0,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,105550.00,BDT,2026-06-26T08:00:00Z,2026-06-26T08:02:00Z,seed,2026-06-26T08:02:00Z
e1bf62ae-e87d-5bbb-9318-a7438f074e92,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,105200.00,BDT,2026-06-26T09:00:00Z,2026-06-26T09:02:00Z,seed,2026-06-26T09:02:00Z
8da25983-f8a8-5d9f-ae2e-723790bdfacf,,ab657634-87ea-5bf6-a616-c73015f5b287,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,104850.00,BDT,2026-06-26T10:00:00Z,2026-06-26T10:02:00Z,seed,2026-06-26T10:02:00Z
