anomaly_flag_id,transaction_id
dd443418-8fde-507a-80a8-60ce815bb73a,ef4a64da-85b9-5c40-aba9-3a0a23d34fa6
dd443418-8fde-507a-80a8-60ce815bb73a,5f995657-0652-5b49-a9bc-bb10c6212922
dd443418-8fde-507a-80a8-60ce815bb73a,c0e64473-918d-5d2b-8f6c-86fdc61935ea
dd443418-8fde-507a-80a8-60ce815bb73a,40bdcc9c-47df-5ebe-8627-8ecd5ac83992
dd443418-8fde-507a-80a8-60ce815bb73a,e80d9987-3624-5362-9948-d02baa38424b
dd443418-8fde-507a-80a8-60ce815bb73a,c6ef492b-1fc7-5f8e-8547-385c8eebb1d4
6fb15126-0bbe-5b1d-b1af-21684bf55883,d17ab120-8413-537e-9049-d3f677ff75ab
6fb15126-0bbe-5b1d-b1af-21684bf55883,7ec10879-6d06-5971-b2ac-19bcc76037d6
6fb15126-0bbe-5b1d-b1af-21684bf55883,c05181ec-724c-5fb0-ac47-547d9f688243
6fb15126-0bbe-5b1d-b1af-21684bf55883,212d56e0-e1cf-5c0e-aed9-3b921947be96
6fb15126-0bbe-5b1d-b1af-21684bf55883,110b8010-1c14-5295-b1d9-a343da06764a
6fb15126-0bbe-5b1d-b1af-21684bf55883,240a3350-53f2-58b1-8686-e02bc2c747a5
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,33d49d86-c4dc-5d52-9ec0-2782dd70dcb6
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,8b9a3738-0f70-5bbb-bb5a-c6ecc39d5385
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,cfcdc8c3-46e5-5513-be26-0a3c43d39a1f
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,9b08beff-a215-57b1-aa77-561617ff0674
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,a2bee4e8-d5e6-5d36-909e-6c02f02380fb
c542866a-d3c4-51d0-ac2e-0ccd86a4f3ce,d8c1d662-d9c3-5251-af63-5c7221c5e8e0
f54c51bf-c16b-563a-b7b5-5e50206780a1,50da627a-70a4-5cd1-b7ff-bedd51729a15
f54c51bf-c16b-563a-b7b5-5e50206780a1,00f53512-ed49-5604-81da-b1c11e3fa10c
f54c51bf-c16b-563a-b7b5-5e50206780a1,f3c7c472-a193-502f-b3af-2793ada2efac
f54c51bf-c16b-563a-b7b5-5e50206780a1,514550e0-acdf-5305-8127-cf2e66de7654
f54c51bf-c16b-563a-b7b5-5e50206780a1,ea43f6b5-c32b-5bd6-b458-7a1a13caa04f
f54c51bf-c16b-563a-b7b5-5e50206780a1,2addc953-8e32-5154-8d8a-759c0d3752fa
796f8c32-a9d0-506b-b295-b7e5c02a8608,ae161baf-1eac-503b-a7c8-055a4e81c563
796f8c32-a9d0-506b-b295-b7e5c02a8608,af76b710-d35c-558a-89bf-1370a8f650a9
796f8c32-a9d0-506b-b295-b7e5c02a8608,2c406aa3-c7ca-5272-97bc-f29018478341
796f8c32-a9d0-506b-b295-b7e5c02a8608,705b302a-50bd-546a-bed4-b8db7807328a
796f8c32-a9d0-506b-b295-b7e5c02a8608,295cb681-83b0-55f3-b80f-dfb0c5fb5425
796f8c32-a9d0-506b-b295-b7e5c02a8608,58930c66-f501-57cf-a889-b0c2874c10e1
35060ded-66a1-5ab0-8d79-49178ac8530d,306f896d-bd18-5def-a4bd-2a202ff22a15
35060ded-66a1-5ab0-8d79-49178ac8530d,82c199e1-e533-5b45-833a-11cbe25e4937
35060ded-66a1-5ab0-8d79-49178ac8530d,e985989d-8cf7-5973-b558-a5c325063f8c
35060ded-66a1-5ab0-8d79-49178ac8530d,18ec8ba0-6015-59ac-8d86-af2d0c1e1c45
35060ded-66a1-5ab0-8d79-49178ac8530d,6a6d7925-3627-540f-bd3d-88a54b8f7297
35060ded-66a1-5ab0-8d79-49178ac8530d,969302a3-51d5-522a-886b-cc1b7c195a80
196ab1e7-2f23-5661-ba0c-0f15551ffd6e,cce20bfc-df91-5b7a-9efb-64d276fb925c
196ab1e7-2f23-5661-ba0c-0f15551ffd6e,223d753c-0725-50b5-ab5c-818ef89136a9
196ab1e7-2f23-5661-ba0c-0f15551ffd6e,5c4ee280-759d-5072-86ed-f4c308179f67
