provider_balance_snapshot_id,ingestion_event_id,simulation_run_id,outlet_provider_account_id,provider_id,outlet_id,balance,currency_code,observed_at,received_at,source_kind,created_at
8159692a-605b-56b7-b581-c46e6e8c712c,,ab657634-87ea-5bf6-a616-c73015f5b287,63802dac-b6b3-5e8d-83f0-5a85b0f2269e,11111111-1111-1111-1111-111111111111,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,70000.00,BDT,2026-06-26T01:00:00Z,2026-06-26T01:02:00Z,seed,2026-06-26T01:02:00Z
05ef9e5c-3643-518b-92c4-48a1196cf82d,,ab657634-87ea-5bf6-a616-c73015f5b287,25c552cc-32cf-5a83-9e9b-887212da7936,22222222-2222-2222-2222-222222222222,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,77000.00,BDT,2026-06-26T01:00:00Z,2026-06-26T01:02:00Z,seed,2026-06-26T01:02:00Z
d818fdef-dfed-5bab-b051-a8f622f9cb5e,,ab657634-87ea-5bf6-a616-c73015f5b287,d6b2913f-c3a8-56f7-a5c3-3078c3c7d9c2,33333333-3333-3333-3333-333333333333,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,84000.00,BDT,2026-06-26T01:00:00Z,2026-06-26T01:02:00Z,seed,2026-06-26T01:02:00Z
99c13a44-0093-5277-8d61-9744c23a1c63,,ab657634-87ea-5bf6-a616-c73015f5b287,63802dac-b6b3-5e8d-83f0-5a85b0f2269e,11111111-1111-1111-1111-111111111111,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,69880.00,BDT,2026-06-26T02:00:00Z,2026-06-26T02:02:00Z,seed,2026-06-26T02:02:00Z
a65ce226-d183-5f32-b086-e421be79f0dd,,ab657634-87ea-5bf6-a616-c73015f5b287,25c552cc-32cf-5a83-9e9b-887212da7936,22222222-2222-2222-2222-222222222222,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,76880.00,BDT,2026-06-26T02:00:00Z,2026-06-26T02:02:00Z,seed,2026-06-26T02:02:00Z
62ae5567-f20f-5503-bca2-4aef213cf43f,,ab657634-87ea-5bf6-a616-c73015f5b287,d6b2913f-c3a8-56f7-a5c3-3078c3c7d9c2,33333333-3333-3333-3333-333333333333,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,83880.00,BDT,2026-06-26T02:00:00Z,2026-06-26T02:02:00Z,seed,2026-06-26T02:02:00Z
82b6828b-1416-562e-ae7e-0692567a3d5f,,ab657634-87ea-5bf6-a616-c73015f5b287,63802dac-b6b3-5e8d-83f0-5a85b0f2269e,11111111-1111-1111-1111-111111111111,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,69760.00,BDT,2026-06-26T03:00:00Z,2026-06-26T03:02:00Z,seed,2026-06-26T03:02:00Z
5c545032-3c09-5cdb-9d38-5990ce0e9994,,ab657634-87ea-5bf6-a616-c73015f5b287,25c552cc-32cf-5a83-9e9b-887212da7936,22222222-2222-2222-2222-222222222222,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,76760.00,BDT,2026-06-26T03:00:00Z,2026-06-26T03:02:00Z,seed,2026-06-26T03:02:00Z
3cf4880c-307f-5c2d-9ad5-626474c2aa16,,ab657634-87ea-5bf6-a616-c73015f5b287,d6b2913f-c3a8-56f7-a5c3-3078c3c7d9c2,33333333-3333-3333-3333-333333333333,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,83760.00,BDT,2026-06-26T03:00:00Z,2026-06-26T03:02:00Z,seed,2026-06-26T03:02:00Z
671df2b3-fe09-5327-a6d0-f3983d412140,,ab657634-87ea-5bf6-a616-c73015f5b287,63802dac-b6b3-5e8d-83f0-5a85b0f2269e,11111111-1111-1111-1111-111111111111,c79304d5-6c6d-50df-92b0-6ba3b8ad7e19,69640.00,BDT,2026-06-26T04:00:00Z,2026-06-26T04:02:00Z,seed,2026-06-26T04:02:00Z
